,userCode,project_id,requestedDevice,userAgent,pageReferrer,year,month,day,hour
2,cb5b4b68-cc01-6db6-f54b-4a0f881301c5,5067,Mobile,iPhone,HomeWebsite,2018,1,1,0
3,5f74cef2-0d1e-b619-3564-0955a14e0985,6654,Mobile,iPhone,Google,2018,1,1,0
5,1bce397f-9edd-6f75-40ea-408a27ddb0e8,6297,Mobile,Android,Other_PageReferer,2018,1,1,0
9,812246ad-97a8-2a9d-457b-4b5bb521e20c,5764,Mobile,Android,Facebook,2018,1,1,0
12,5badf2de-4bc2-c66b-64fd-13184832dfa0,2560,Desktop,Windows,Google,2018,1,1,0
14,67134749-f09c-747e-777c-59d7cba5e179,4201,Mobile,iPhone,Other_PageReferer,2018,1,1,0
15,a9edf492-d59f-874b-88ab-a729bacef361,3860,Mobile,iPhone,Google,2018,1,1,0
16,2ffd9643-61d1-aed9-3dbd-4e0bc502dd97,7564,Mobile,iPhone,Google,2018,1,1,0
18,a601a987-c3a4-b9d7-4c59-e22eb3c64069,7440,Mobile,iPad,Google,2018,1,1,0
19,a2fd4a4c-3b6d-e6f6-7bf4-843ced3f7ea3,7988,Mobile,Android,HomeWebsite,2018,1,1,0
20,e02a9121-bf25-99ed-b952-83322aff365c,6427,Mobile,Android,HomeWebsite,2018,1,1,0
21,1d7f261c-fb05-1de3-f632-c5cc823bc717,5764,Desktop,Android,Facebook,2018,1,1,0
22,d4acc017-cf9d-395e-3684-108e6bd195b0,5764,Mobile,Android,Facebook,2018,1,1,0
23,69ae47f2-874c-a4cc-8331-da565a2c3f55,7973,Mobile,iPhone,Facebook,2018,1,1,0
26,61419a27-ae7f-21a4-65c3-6602f2e51378,6550,Mobile,Android,HomeWebsite,2018,1,1,0
28,91cfe952-7400-623e-9851-096dd8f63b4a,5856,Mobile,iPhone,Google,2018,1,1,0
29,c5483446-91f6-cf2d-5ea5-4d698cb0d08f,6251,Desktop,Windows,Google,2018,1,1,0
31,64cf71ae-36c5-a7e9-673d-ebef2472d7a5,3969,Desktop,Macintosh,Google,2018,1,1,0
40,951ec9b9-e18d-1f5d-ddbd-621335116189,5764,Mobile,Android,Facebook,2018,1,1,0
41,ee55bfff-a5e7-8bfb-5ac2-ef3c250420a7,3297,Mobile,Android,Google,2018,1,1,0
42,90a6410a-a050-49e4-4c68-7154dd13dc9f,8692,Mobile,iPhone,Facebook,2018,1,1,0
43,88cad6d6-7640-fc5c-ff42-d3e070338a33,3738,Mobile,Android,HomeWebsite,2018,1,1,0
44,37beccde-f43a-273c-ca92-8d6d6f6e478c,4431,Mobile,iPhone,Google,2018,1,1,0
46,eed68e85-1e38-dc43-6a9e-0d7498513a96,5385,Desktop,Windows,Google,2018,1,1,0
